"dist","k","k1","k2","k12","nRF","RF","maxRF","repl","tool","unik","method","species","tool_and_method"
"j",10,"None","None","None",0.0909090909090909,4,44,0,"Dashing","10","Fixed-k J","fish","Dashing Fixed-k J"
"j",11,"None","None","None",0.0909090909090909,4,44,0,"Dashing","11","Fixed-k J","fish","Dashing Fixed-k J"
"j",12,"None","None","None",0.0909090909090909,4,44,0,"Dashing","12","Fixed-k J","fish","Dashing Fixed-k J"
"j",13,"None","None","None",0.0909090909090909,4,44,0,"Dashing","13","Fixed-k J","fish","Dashing Fixed-k J"
"j",14,"None","None","None",0.0909090909090909,4,44,0,"Dashing","14","Fixed-k J","fish","Dashing Fixed-k J"
"j",15,"None","None","None",0.0909090909090909,4,44,0,"Dashing","15","Fixed-k J","fish","Dashing Fixed-k J"
"j",16,"None","None","None",0.0909090909090909,4,44,0,"Dashing","16","Fixed-k J","fish","Dashing Fixed-k J"
"j",17,"None","None","None",0.0909090909090909,4,44,0,"Dashing","17","Fixed-k J","fish","Dashing Fixed-k J"
"j",18,"None","None","None",0.0909090909090909,4,44,0,"Dashing","18","Fixed-k J","fish","Dashing Fixed-k J"
"j",19,"None","None","None",0.0909090909090909,4,44,0,"Dashing","19","Fixed-k J","fish","Dashing Fixed-k J"
"j",20,"None","None","None",0.0909090909090909,4,44,0,"Dashing","20","Fixed-k J","fish","Dashing Fixed-k J"
"j",21,"None","None","None",0.0909090909090909,4,44,0,"Dashing","21","Fixed-k J","fish","Dashing Fixed-k J"
"j",22,"None","None","None",0.0909090909090909,4,44,0,"Dashing","22","Fixed-k J","fish","Dashing Fixed-k J"
"j",23,"None","None","None",0.136363636363636,6,44,0,"Dashing","23","Fixed-k J","fish","Dashing Fixed-k J"
"j",24,"None","None","None",0.136363636363636,6,44,0,"Dashing","24","Fixed-k J","fish","Dashing Fixed-k J"
"j",25,"None","None","None",0.136363636363636,6,44,0,"Dashing","25","Fixed-k J","fish","Dashing Fixed-k J"
"j",26,"None","None","None",0.0909090909090909,4,44,0,"Dashing","26","Fixed-k J","fish","Dashing Fixed-k J"
"j",27,"None","None","None",0.0909090909090909,4,44,0,"Dashing","27","Fixed-k J","fish","Dashing Fixed-k J"
"j",28,"None","None","None",0.136363636363636,6,44,0,"Dashing","28","Fixed-k J","fish","Dashing Fixed-k J"
"j",29,"None","None","None",0.136363636363636,6,44,0,"Dashing","29","Fixed-k J","fish","Dashing Fixed-k J"
"j",2,"None","None","None",1,44,44,0,"Dashing","2","Fixed-k J","fish","Dashing Fixed-k J"
"j",30,"None","None","None",0.136363636363636,6,44,0,"Dashing","30","Fixed-k J","fish","Dashing Fixed-k J"
"j",31,"None","None","None",0.136363636363636,6,44,0,"Dashing","31","Fixed-k J","fish","Dashing Fixed-k J"
"j",3,"None","None","None",1,44,44,0,"Dashing","3","Fixed-k J","fish","Dashing Fixed-k J"
"j",4,"None","None","None",1,44,44,0,"Dashing","4","Fixed-k J","fish","Dashing Fixed-k J"
"j",5,"None","None","None",1,44,44,0,"Dashing","5","Fixed-k J","fish","Dashing Fixed-k J"
"j",6,"None","None","None",0.545454545454545,24,44,0,"Dashing","6","Fixed-k J","fish","Dashing Fixed-k J"
"j",7,"None","None","None",0.181818181818182,8,44,0,"Dashing","7","Fixed-k J","fish","Dashing Fixed-k J"
"j",8,"None","None","None",0.0909090909090909,4,44,0,"Dashing","8","Fixed-k J","fish","Dashing Fixed-k J"
"j",9,"None","None","None",0.0909090909090909,4,44,0,"Dashing","9","Fixed-k J","fish","Dashing Fixed-k J"
"j",0,"9","9","10",0.0909090909090909,4,44,0,"Dashing","10","KIJ","fish","Dashing KIJ"
"j",10,"None","None","None",0.0909090909090909,4,44,0,"KMC","10","Fixed-k J","fish","KMC Fixed-k J"
"j",11,"None","None","None",0.0909090909090909,4,44,0,"KMC","11","Fixed-k J","fish","KMC Fixed-k J"
"j",12,"None","None","None",0.0909090909090909,4,44,0,"KMC","12","Fixed-k J","fish","KMC Fixed-k J"
"j",13,"None","None","None",0.0909090909090909,4,44,0,"KMC","13","Fixed-k J","fish","KMC Fixed-k J"
"j",14,"None","None","None",0.0909090909090909,4,44,0,"KMC","14","Fixed-k J","fish","KMC Fixed-k J"
"j",15,"None","None","None",0.0909090909090909,4,44,0,"KMC","15","Fixed-k J","fish","KMC Fixed-k J"
"j",16,"None","None","None",0.0909090909090909,4,44,0,"KMC","16","Fixed-k J","fish","KMC Fixed-k J"
"j",17,"None","None","None",0.0909090909090909,4,44,0,"KMC","17","Fixed-k J","fish","KMC Fixed-k J"
"j",18,"None","None","None",0.0909090909090909,4,44,0,"KMC","18","Fixed-k J","fish","KMC Fixed-k J"
"j",19,"None","None","None",0.0909090909090909,4,44,0,"KMC","19","Fixed-k J","fish","KMC Fixed-k J"
"j",20,"None","None","None",0.0909090909090909,4,44,0,"KMC","20","Fixed-k J","fish","KMC Fixed-k J"
"j",21,"None","None","None",0.0909090909090909,4,44,0,"KMC","21","Fixed-k J","fish","KMC Fixed-k J"
"j",22,"None","None","None",0.0909090909090909,4,44,0,"KMC","22","Fixed-k J","fish","KMC Fixed-k J"
"j",23,"None","None","None",0.0909090909090909,4,44,0,"KMC","23","Fixed-k J","fish","KMC Fixed-k J"
"j",24,"None","None","None",0.0909090909090909,4,44,0,"KMC","24","Fixed-k J","fish","KMC Fixed-k J"
"j",25,"None","None","None",0.0909090909090909,4,44,0,"KMC","25","Fixed-k J","fish","KMC Fixed-k J"
"j",26,"None","None","None",0.136363636363636,6,44,0,"KMC","26","Fixed-k J","fish","KMC Fixed-k J"
"j",27,"None","None","None",0.136363636363636,6,44,0,"KMC","27","Fixed-k J","fish","KMC Fixed-k J"
"j",28,"None","None","None",0.136363636363636,6,44,0,"KMC","28","Fixed-k J","fish","KMC Fixed-k J"
"j",29,"None","None","None",0.136363636363636,6,44,0,"KMC","29","Fixed-k J","fish","KMC Fixed-k J"
"j",2,"None","None","None",1,44,44,0,"KMC","2","Fixed-k J","fish","KMC Fixed-k J"
"j",30,"None","None","None",0.136363636363636,6,44,0,"KMC","30","Fixed-k J","fish","KMC Fixed-k J"
"j",31,"None","None","None",0.136363636363636,6,44,0,"KMC","31","Fixed-k J","fish","KMC Fixed-k J"
"j",32,"None","None","None",0.136363636363636,6,44,0,"KMC","32","Fixed-k J","fish","KMC Fixed-k J"
"j",33,"None","None","None",0.136363636363636,6,44,0,"KMC","33","Fixed-k J","fish","KMC Fixed-k J"
"j",34,"None","None","None",0.136363636363636,6,44,0,"KMC","34","Fixed-k J","fish","KMC Fixed-k J"
"j",35,"None","None","None",0.136363636363636,6,44,0,"KMC","35","Fixed-k J","fish","KMC Fixed-k J"
"j",36,"None","None","None",0.136363636363636,6,44,0,"KMC","36","Fixed-k J","fish","KMC Fixed-k J"
"j",37,"None","None","None",0.136363636363636,6,44,0,"KMC","37","Fixed-k J","fish","KMC Fixed-k J"
"j",38,"None","None","None",0.136363636363636,6,44,0,"KMC","38","Fixed-k J","fish","KMC Fixed-k J"
"j",39,"None","None","None",0.136363636363636,6,44,0,"KMC","39","Fixed-k J","fish","KMC Fixed-k J"
"j",3,"None","None","None",1,44,44,0,"KMC","3","Fixed-k J","fish","KMC Fixed-k J"
"j",40,"None","None","None",0.227272727272727,10,44,0,"KMC","40","Fixed-k J","fish","KMC Fixed-k J"
"j",41,"None","None","None",0.227272727272727,10,44,0,"KMC","41","Fixed-k J","fish","KMC Fixed-k J"
"j",42,"None","None","None",0.136363636363636,6,44,0,"KMC","42","Fixed-k J","fish","KMC Fixed-k J"
"j",43,"None","None","None",0.181818181818182,8,44,0,"KMC","43","Fixed-k J","fish","KMC Fixed-k J"
"j",44,"None","None","None",0.181818181818182,8,44,0,"KMC","44","Fixed-k J","fish","KMC Fixed-k J"
"j",45,"None","None","None",0.181818181818182,8,44,0,"KMC","45","Fixed-k J","fish","KMC Fixed-k J"
"j",46,"None","None","None",0.0909090909090909,4,44,0,"KMC","46","Fixed-k J","fish","KMC Fixed-k J"
"j",47,"None","None","None",0.181818181818182,8,44,0,"KMC","47","Fixed-k J","fish","KMC Fixed-k J"
"j",48,"None","None","None",0.181818181818182,8,44,0,"KMC","48","Fixed-k J","fish","KMC Fixed-k J"
"j",49,"None","None","None",0.181818181818182,8,44,0,"KMC","49","Fixed-k J","fish","KMC Fixed-k J"
"j",4,"None","None","None",1,44,44,0,"KMC","4","Fixed-k J","fish","KMC Fixed-k J"
"j",50,"None","None","None",0.181818181818182,8,44,0,"KMC","50","Fixed-k J","fish","KMC Fixed-k J"
"j",51,"None","None","None",0.227272727272727,10,44,0,"KMC","51","Fixed-k J","fish","KMC Fixed-k J"
"j",52,"None","None","None",0.227272727272727,10,44,0,"KMC","52","Fixed-k J","fish","KMC Fixed-k J"
"j",53,"None","None","None",0.318181818181818,14,44,0,"KMC","53","Fixed-k J","fish","KMC Fixed-k J"
"j",54,"None","None","None",0.318181818181818,14,44,0,"KMC","54","Fixed-k J","fish","KMC Fixed-k J"
"j",55,"None","None","None",0.318181818181818,14,44,0,"KMC","55","Fixed-k J","fish","KMC Fixed-k J"
"j",56,"None","None","None",0.227272727272727,10,44,0,"KMC","56","Fixed-k J","fish","KMC Fixed-k J"
"j",57,"None","None","None",0.318181818181818,14,44,0,"KMC","57","Fixed-k J","fish","KMC Fixed-k J"
"j",58,"None","None","None",0.318181818181818,14,44,0,"KMC","58","Fixed-k J","fish","KMC Fixed-k J"
"j",59,"None","None","None",0.318181818181818,14,44,0,"KMC","59","Fixed-k J","fish","KMC Fixed-k J"
"j",5,"None","None","None",1,44,44,0,"KMC","5","Fixed-k J","fish","KMC Fixed-k J"
"j",6,"None","None","None",0.545454545454545,24,44,0,"KMC","6","Fixed-k J","fish","KMC Fixed-k J"
"j",7,"None","None","None",0.181818181818182,8,44,0,"KMC","7","Fixed-k J","fish","KMC Fixed-k J"
"j",8,"None","None","None",0.0909090909090909,4,44,0,"KMC","8","Fixed-k J","fish","KMC Fixed-k J"
"j",9,"None","None","None",0.0909090909090909,4,44,0,"KMC","9","Fixed-k J","fish","KMC Fixed-k J"
"j",0,"9","9","10",0.0909090909090909,4,44,0,"KMC","10","KIJ","fish","KMC KIJ"
"j",10,"None","None","None",0.346153846153846,18,52,0,"Dashing","10","Fixed-k J","ecoli","Dashing Fixed-k J"
"j",11,"None","None","None",0.269230769230769,14,52,0,"Dashing","11","Fixed-k J","ecoli","Dashing Fixed-k J"
"j",12,"None","None","None",0.269230769230769,14,52,0,"Dashing","12","Fixed-k J","ecoli","Dashing Fixed-k J"
"j",13,"None","None","None",0.230769230769231,12,52,0,"Dashing","13","Fixed-k J","ecoli","Dashing Fixed-k J"
"j",14,"None","None","None",0.230769230769231,12,52,0,"Dashing","14","Fixed-k J","ecoli","Dashing Fixed-k J"
"j",15,"None","None","None",0.230769230769231,12,52,0,"Dashing","15","Fixed-k J","ecoli","Dashing Fixed-k J"
"j",16,"None","None","None",0.230769230769231,12,52,0,"Dashing","16","Fixed-k J","ecoli","Dashing Fixed-k J"
"j",17,"None","None","None",0.230769230769231,12,52,0,"Dashing","17","Fixed-k J","ecoli","Dashing Fixed-k J"
"j",18,"None","None","None",0.230769230769231,12,52,0,"Dashing","18","Fixed-k J","ecoli","Dashing Fixed-k J"
"j",19,"None","None","None",0.230769230769231,12,52,0,"Dashing","19","Fixed-k J","ecoli","Dashing Fixed-k J"
"j",20,"None","None","None",0.230769230769231,12,52,0,"Dashing","20","Fixed-k J","ecoli","Dashing Fixed-k J"
"j",21,"None","None","None",0.230769230769231,12,52,0,"Dashing","21","Fixed-k J","ecoli","Dashing Fixed-k J"
"j",22,"None","None","None",0.230769230769231,12,52,0,"Dashing","22","Fixed-k J","ecoli","Dashing Fixed-k J"
"j",23,"None","None","None",0.230769230769231,12,52,0,"Dashing","23","Fixed-k J","ecoli","Dashing Fixed-k J"
"j",24,"None","None","None",0.230769230769231,12,52,0,"Dashing","24","Fixed-k J","ecoli","Dashing Fixed-k J"
"j",25,"None","None","None",0.230769230769231,12,52,0,"Dashing","25","Fixed-k J","ecoli","Dashing Fixed-k J"
"j",26,"None","None","None",0.230769230769231,12,52,0,"Dashing","26","Fixed-k J","ecoli","Dashing Fixed-k J"
"j",27,"None","None","None",0.230769230769231,12,52,0,"Dashing","27","Fixed-k J","ecoli","Dashing Fixed-k J"
"j",28,"None","None","None",0.230769230769231,12,52,0,"Dashing","28","Fixed-k J","ecoli","Dashing Fixed-k J"
"j",29,"None","None","None",0.230769230769231,12,52,0,"Dashing","29","Fixed-k J","ecoli","Dashing Fixed-k J"
"j",2,"None","None","None",1,52,52,0,"Dashing","2","Fixed-k J","ecoli","Dashing Fixed-k J"
"j",30,"None","None","None",0.230769230769231,12,52,0,"Dashing","30","Fixed-k J","ecoli","Dashing Fixed-k J"
"j",31,"None","None","None",0.230769230769231,12,52,0,"Dashing","31","Fixed-k J","ecoli","Dashing Fixed-k J"
"j",3,"None","None","None",1,52,52,0,"Dashing","3","Fixed-k J","ecoli","Dashing Fixed-k J"
"j",4,"None","None","None",1,52,52,0,"Dashing","4","Fixed-k J","ecoli","Dashing Fixed-k J"
"j",5,"None","None","None",1,52,52,0,"Dashing","5","Fixed-k J","ecoli","Dashing Fixed-k J"
"j",6,"None","None","None",1,52,52,0,"Dashing","6","Fixed-k J","ecoli","Dashing Fixed-k J"
"j",7,"None","None","None",1,52,52,0,"Dashing","7","Fixed-k J","ecoli","Dashing Fixed-k J"
"j",8,"None","None","None",0.692307692307692,36,52,0,"Dashing","8","Fixed-k J","ecoli","Dashing Fixed-k J"
"j",9,"None","None","None",0.423076923076923,22,52,0,"Dashing","9","Fixed-k J","ecoli","Dashing Fixed-k J"
"j",0,"14","14","14",0.230769230769231,12,52,0,"Dashing","14","KIJ","ecoli","Dashing KIJ"
"j",10,"None","None","None",0.307692307692308,16,52,0,"KMC","10","Fixed-k J","ecoli","KMC Fixed-k J"
"j",11,"None","None","None",0.269230769230769,14,52,0,"KMC","11","Fixed-k J","ecoli","KMC Fixed-k J"
"j",12,"None","None","None",0.269230769230769,14,52,0,"KMC","12","Fixed-k J","ecoli","KMC Fixed-k J"
"j",13,"None","None","None",0.230769230769231,12,52,0,"KMC","13","Fixed-k J","ecoli","KMC Fixed-k J"
"j",14,"None","None","None",0.230769230769231,12,52,0,"KMC","14","Fixed-k J","ecoli","KMC Fixed-k J"
"j",15,"None","None","None",0.230769230769231,12,52,0,"KMC","15","Fixed-k J","ecoli","KMC Fixed-k J"
"j",16,"None","None","None",0.230769230769231,12,52,0,"KMC","16","Fixed-k J","ecoli","KMC Fixed-k J"
"j",17,"None","None","None",0.230769230769231,12,52,0,"KMC","17","Fixed-k J","ecoli","KMC Fixed-k J"
"j",18,"None","None","None",0.230769230769231,12,52,0,"KMC","18","Fixed-k J","ecoli","KMC Fixed-k J"
"j",19,"None","None","None",0.230769230769231,12,52,0,"KMC","19","Fixed-k J","ecoli","KMC Fixed-k J"
"j",20,"None","None","None",0.230769230769231,12,52,0,"KMC","20","Fixed-k J","ecoli","KMC Fixed-k J"
"j",21,"None","None","None",0.230769230769231,12,52,0,"KMC","21","Fixed-k J","ecoli","KMC Fixed-k J"
"j",22,"None","None","None",0.230769230769231,12,52,0,"KMC","22","Fixed-k J","ecoli","KMC Fixed-k J"
"j",23,"None","None","None",0.230769230769231,12,52,0,"KMC","23","Fixed-k J","ecoli","KMC Fixed-k J"
"j",24,"None","None","None",0.230769230769231,12,52,0,"KMC","24","Fixed-k J","ecoli","KMC Fixed-k J"
"j",25,"None","None","None",0.230769230769231,12,52,0,"KMC","25","Fixed-k J","ecoli","KMC Fixed-k J"
"j",26,"None","None","None",0.230769230769231,12,52,0,"KMC","26","Fixed-k J","ecoli","KMC Fixed-k J"
"j",27,"None","None","None",0.230769230769231,12,52,0,"KMC","27","Fixed-k J","ecoli","KMC Fixed-k J"
"j",28,"None","None","None",0.230769230769231,12,52,0,"KMC","28","Fixed-k J","ecoli","KMC Fixed-k J"
"j",29,"None","None","None",0.230769230769231,12,52,0,"KMC","29","Fixed-k J","ecoli","KMC Fixed-k J"
"j",2,"None","None","None",1,52,52,0,"KMC","2","Fixed-k J","ecoli","KMC Fixed-k J"
"j",30,"None","None","None",0.230769230769231,12,52,0,"KMC","30","Fixed-k J","ecoli","KMC Fixed-k J"
"j",31,"None","None","None",0.230769230769231,12,52,0,"KMC","31","Fixed-k J","ecoli","KMC Fixed-k J"
"j",32,"None","None","None",0.230769230769231,12,52,0,"KMC","32","Fixed-k J","ecoli","KMC Fixed-k J"
"j",33,"None","None","None",0.230769230769231,12,52,0,"KMC","33","Fixed-k J","ecoli","KMC Fixed-k J"
"j",34,"None","None","None",0.230769230769231,12,52,0,"KMC","34","Fixed-k J","ecoli","KMC Fixed-k J"
"j",35,"None","None","None",0.230769230769231,12,52,0,"KMC","35","Fixed-k J","ecoli","KMC Fixed-k J"
"j",36,"None","None","None",0.230769230769231,12,52,0,"KMC","36","Fixed-k J","ecoli","KMC Fixed-k J"
"j",37,"None","None","None",0.230769230769231,12,52,0,"KMC","37","Fixed-k J","ecoli","KMC Fixed-k J"
"j",38,"None","None","None",0.230769230769231,12,52,0,"KMC","38","Fixed-k J","ecoli","KMC Fixed-k J"
"j",39,"None","None","None",0.230769230769231,12,52,0,"KMC","39","Fixed-k J","ecoli","KMC Fixed-k J"
"j",3,"None","None","None",1,52,52,0,"KMC","3","Fixed-k J","ecoli","KMC Fixed-k J"
"j",40,"None","None","None",0.230769230769231,12,52,0,"KMC","40","Fixed-k J","ecoli","KMC Fixed-k J"
"j",41,"None","None","None",0.230769230769231,12,52,0,"KMC","41","Fixed-k J","ecoli","KMC Fixed-k J"
"j",42,"None","None","None",0.230769230769231,12,52,0,"KMC","42","Fixed-k J","ecoli","KMC Fixed-k J"
"j",43,"None","None","None",0.230769230769231,12,52,0,"KMC","43","Fixed-k J","ecoli","KMC Fixed-k J"
"j",44,"None","None","None",0.230769230769231,12,52,0,"KMC","44","Fixed-k J","ecoli","KMC Fixed-k J"
"j",45,"None","None","None",0.230769230769231,12,52,0,"KMC","45","Fixed-k J","ecoli","KMC Fixed-k J"
"j",46,"None","None","None",0.230769230769231,12,52,0,"KMC","46","Fixed-k J","ecoli","KMC Fixed-k J"
"j",47,"None","None","None",0.230769230769231,12,52,0,"KMC","47","Fixed-k J","ecoli","KMC Fixed-k J"
"j",48,"None","None","None",0.230769230769231,12,52,0,"KMC","48","Fixed-k J","ecoli","KMC Fixed-k J"
"j",49,"None","None","None",0.230769230769231,12,52,0,"KMC","49","Fixed-k J","ecoli","KMC Fixed-k J"
"j",4,"None","None","None",1,52,52,0,"KMC","4","Fixed-k J","ecoli","KMC Fixed-k J"
"j",50,"None","None","None",0.230769230769231,12,52,0,"KMC","50","Fixed-k J","ecoli","KMC Fixed-k J"
"j",51,"None","None","None",0.230769230769231,12,52,0,"KMC","51","Fixed-k J","ecoli","KMC Fixed-k J"
"j",52,"None","None","None",0.230769230769231,12,52,0,"KMC","52","Fixed-k J","ecoli","KMC Fixed-k J"
"j",53,"None","None","None",0.230769230769231,12,52,0,"KMC","53","Fixed-k J","ecoli","KMC Fixed-k J"
"j",54,"None","None","None",0.230769230769231,12,52,0,"KMC","54","Fixed-k J","ecoli","KMC Fixed-k J"
"j",55,"None","None","None",0.230769230769231,12,52,0,"KMC","55","Fixed-k J","ecoli","KMC Fixed-k J"
"j",56,"None","None","None",0.230769230769231,12,52,0,"KMC","56","Fixed-k J","ecoli","KMC Fixed-k J"
"j",57,"None","None","None",0.230769230769231,12,52,0,"KMC","57","Fixed-k J","ecoli","KMC Fixed-k J"
"j",58,"None","None","None",0.230769230769231,12,52,0,"KMC","58","Fixed-k J","ecoli","KMC Fixed-k J"
"j",59,"None","None","None",0.230769230769231,12,52,0,"KMC","59","Fixed-k J","ecoli","KMC Fixed-k J"
"j",5,"None","None","None",1,52,52,0,"KMC","5","Fixed-k J","ecoli","KMC Fixed-k J"
"j",6,"None","None","None",1,52,52,0,"KMC","6","Fixed-k J","ecoli","KMC Fixed-k J"
"j",7,"None","None","None",1,52,52,0,"KMC","7","Fixed-k J","ecoli","KMC Fixed-k J"
"j",8,"None","None","None",0.692307692307692,36,52,0,"KMC","8","Fixed-k J","ecoli","KMC Fixed-k J"
"j",9,"None","None","None",0.423076923076923,22,52,0,"KMC","9","Fixed-k J","ecoli","KMC Fixed-k J"
"j",0,"14","14","14",0.230769230769231,12,52,0,"KMC","14","KIJ","ecoli","KMC KIJ"
