species,ngen,kval,card,delta_pos
ecoli,10,2,10.0,5.0
ecoli,10,3,32.0,10.666666666666666
ecoli,10,4,136.0,34.0
ecoli,10,5,512.0,102.4
ecoli,10,6,2080.0,346.6666666666667
ecoli,10,7,8192.0,1170.2857142857142
ecoli,10,8,32896.0,4112.0
ecoli,10,9,131040.0,14560.0
ecoli,10,10,519991.0,51999.1
ecoli,10,11,1901550.0,172868.18181818182
ecoli,10,12,5098377.0,424864.75
ecoli,10,13,8760970.0,673920.7692307692
ecoli,10,14,11048514.0,789179.5714285715
ecoli,10,15,12102070.0,806804.6666666666
ecoli,10,16,12598913.0,787432.0625
ecoli,10,17,12904252.0,759073.6470588235
ecoli,10,18,13148278.0,730459.8888888889
ecoli,10,19,13367239.0,703538.8947368421
ecoli,10,20,13578722.0,678936.1
ecoli,10,21,13786582.0,656503.9047619047
ecoli,10,22,13988114.0,635823.3636363636
ecoli,10,23,14187633.0,616853.6086956522
ecoli,10,24,14385440.0,599393.3333333334
ecoli,10,25,14578109.0,583124.36
ecoli,10,26,14769339.0,568051.5
ecoli,10,27,14959136.0,554042.074074074
ecoli,10,28,15144335.0,540869.1071428572
ecoli,10,29,15328187.0,528558.1724137932
ecoli,10,30,15510715.0,517023.8333333333
ecoli,10,31,15689106.0,506100.1935483871
ecoli,10,32,15866354.0,495823.5625
ecoli,10,33,16042350.0,486131.8181818182
ecoli,10,34,16214499.0,476897.0294117647
ecoli,10,35,16385461.0,468156.02857142856
ecoli,10,36,16555384.0,459871.77777777775
ecoli,10,37,16721543.0,451933.5945945946
ecoli,10,38,16886653.0,444385.6052631579
ecoli,10,39,17050781.0,437199.5128205128
ecoli,10,40,17211408.0,430285.2
ecoli,10,41,17371016.0,423683.31707317074
ecoli,10,42,17529595.0,417371.3095238095
ecoli,10,43,17684890.0,411276.511627907
ecoli,10,44,17839220.0,405436.8181818182
ecoli,10,45,17992656.0,399836.8
ecoli,10,46,18143070.0,394414.5652173913
ecoli,10,47,18292625.0,389204.78723404254
ecoli,10,48,18441287.0,384193.4791666667
ecoli,10,49,18586908.0,379324.6530612245
ecoli,10,50,18731707.0,374634.14
salmonella,10,2,10.0,5.0
salmonella,10,3,32.0,10.666666666666666
salmonella,10,4,136.0,34.0
salmonella,10,5,512.0,102.4
salmonella,10,6,2080.0,346.6666666666667
salmonella,10,7,8192.0,1170.2857142857142
salmonella,10,8,32885.0,4110.625
salmonella,10,9,130245.0,14471.666666666666
salmonella,10,10,499737.0,49973.7
salmonella,10,11,1544305.0,140391.36363636365
salmonella,10,12,3111691.0,259307.58333333334
salmonella,10,13,4307456.0,331342.76923076925
salmonella,10,14,4874105.0,348150.35714285716
salmonella,10,15,5082907.0,338860.4666666667
salmonella,10,16,5152558.0,322034.875
salmonella,10,17,5175985.0,304469.70588235295
salmonella,10,18,5185152.0,288064.0
salmonella,10,19,5189548.0,273134.1052631579
salmonella,10,20,5192494.0,259624.7
salmonella,10,21,5194822.0,247372.47619047618
salmonella,10,22,5196826.0,236219.36363636365
salmonella,10,23,5198663.0,226028.8260869565
salmonella,10,24,5200404.0,216683.5
salmonella,10,25,5202016.0,208080.64
salmonella,10,26,5203584.0,200137.84615384616
salmonella,10,27,5205096.0,192781.33333333334
salmonella,10,28,5206551.0,185948.25
salmonella,10,29,5207965.0,179585.0
salmonella,10,30,5209362.0,173645.4
salmonella,10,31,5210710.0,168087.4193548387
salmonella,10,32,5212040.0,162876.25
salmonella,10,33,5213324.0,157979.51515151514
salmonella,10,34,5214529.0,153368.5
salmonella,10,35,5215687.0,149019.62857142856
salmonella,10,36,5216809.0,144911.36111111112
salmonella,10,37,5217890.0,141024.05405405405
salmonella,10,38,5218956.0,137340.94736842104
salmonella,10,39,5220010.0,133846.41025641025
salmonella,10,40,5221036.0,130525.9
salmonella,10,41,5222047.0,127367.0
salmonella,10,42,5223049.0,124358.30952380953
salmonella,10,43,5224035.0,121489.18604651163
salmonella,10,44,5225014.0,118750.31818181818
salmonella,10,45,5225987.0,116133.04444444444
salmonella,10,46,5226938.0,113629.08695652174
salmonella,10,47,5227884.0,111231.5744680851
salmonella,10,48,5228826.0,108933.875
salmonella,10,49,5229754.0,106729.67346938775
salmonella,10,50,5230679.0,104613.58
human,12,2,10.0,5.0
human,12,3,32.0,10.666666666666666
human,12,4,136.0,34.0
human,12,5,512.0,102.4
human,12,6,2080.0,346.6666666666667
human,12,7,8192.0,1170.2857142857142
human,12,8,32896.0,4112.0
human,12,9,131072.0,14563.555555555555
human,12,10,524800.0,52480.0
human,12,11,2097147.0,190649.72727272726
human,12,12,8383220.0,698601.6666666666
human,12,13,32788279.0,2522175.3076923075
human,12,14,119481260.0,8534375.714285715
human,12,15,350413209.0,23360880.6
human,12,16,849710193.0,53106887.0625
human,12,17,1510772677.0,88868981.0
human,12,18,2023523282.0,112417960.1111111
human,12,19,2316185744.0,121904512.84210527
human,12,20,2473209631.0,123660481.55
human,12,21,2567748436.0,122273735.04761904
human,12,22,2636076609.0,119821664.04545455
human,12,23,2693163059.0,117094046.04347827
human,12,24,2744860464.0,114369186.0
human,12,25,2793420222.0,111736808.88
human,12,26,2839834404.0,109224400.15384616
human,12,27,2884556150.0,106835412.96296297
human,12,28,2927849997.0,104566071.32142857
human,12,29,2969887029.0,102409897.55172414
human,12,30,3010825243.0,100360841.43333334
human,12,31,3050770734.0,98411959.16129032
human,12,32,3089831193.0,96557224.78125
human,12,33,3128068321.0,94789949.12121212
human,12,34,3165523508.0,93103632.58823529
human,12,35,3202222016.0,91492057.6
human,12,36,3238202436.0,89950067.66666667
human,12,37,3273473532.0,88472257.62162162
