"ngenomes","canon","type","scaled","metric","value","WallClock_sec"
1,1,"time","unscaled","r",6.368,NA
1,1,"time","unscaled","z",22.815,NA
2,1,"time","unscaled","r",12.816,NA
2,1,"time","unscaled","z",42.591,NA
3,1,"time","unscaled","r",13.358,NA
3,1,"time","unscaled","z",46.78,NA
4,1,"time","unscaled","r",19.556,NA
4,1,"time","unscaled","z",71.386,NA
5,1,"time","unscaled","r",23.043,NA
5,1,"time","unscaled","z",90.039,NA
6,1,"time","unscaled","r",23.543,NA
6,1,"time","unscaled","z",89.476,NA
7,1,"time","unscaled","r",25.045,NA
7,1,"time","unscaled","z",94.172,NA
8,1,"time","unscaled","r",24.744,NA
8,1,"time","unscaled","z",88.55,NA
9,1,"time","unscaled","r",30.087,NA
9,1,"time","unscaled","z",121.057,NA
10,1,"time","unscaled","r",30.332,NA
10,1,"time","unscaled","z",121.452,NA
11,1,"time","unscaled","r",34.705,NA
11,1,"time","unscaled","z",150.954,NA
12,1,"time","unscaled","r",34.276,NA
12,1,"time","unscaled","z",140.045,NA
13,1,"time","unscaled","r",36.919,NA
13,1,"time","unscaled","z",165.851,NA
14,1,"time","unscaled","r",40.823,NA
14,1,"time","unscaled","z",197.096,NA
15,1,"time","unscaled","r",42.107,NA
15,1,"time","unscaled","z",200.124,NA
16,1,"time","unscaled","r",41.84,NA
16,1,"time","unscaled","z",198.953,NA
17,1,"time","unscaled","r",45.186,NA
17,1,"time","unscaled","z",212.929,NA
18,1,"time","unscaled","r",45.625,NA
18,1,"time","unscaled","z",210.359,NA
19,1,"time","unscaled","r",54.459,NA
19,1,"time","unscaled","z",363.467,NA
20,1,"time","unscaled","r",55.654,NA
20,1,"time","unscaled","z",380.873,NA
21,1,"time","unscaled","r",58.747,NA
21,1,"time","unscaled","z",407.619,NA
22,1,"time","unscaled","r",60.794,NA
22,1,"time","unscaled","z",425.791,NA
23,1,"time","unscaled","r",61.623,NA
23,1,"time","unscaled","z",440.486,NA
24,1,"time","unscaled","r",63.765,NA
24,1,"time","unscaled","z",477.85,NA
25,1,"time","unscaled","r",66.314,NA
25,1,"time","unscaled","z",480.602,NA
26,1,"time","unscaled","r",68.776,NA
26,1,"time","unscaled","z",504.125,NA
27,1,"time","unscaled","r",66.201,NA
27,1,"time","unscaled","z",505.357,NA
28,1,"time","unscaled","r",69.682,NA
28,1,"time","unscaled","z",510.082,NA
29,1,"time","unscaled","r",76.252,NA
29,1,"time","unscaled","z",615.707,NA
30,1,"time","unscaled","r",75.454,NA
30,1,"time","unscaled","z",621.604,NA
31,1,"time","unscaled","r",75.826,NA
31,1,"time","unscaled","z",622.818,NA
32,1,"time","unscaled","r",76.86,NA
32,1,"time","unscaled","z",594.839,NA
33,1,"time","unscaled","r",78.578,NA
33,1,"time","unscaled","z",662.675,NA
34,1,"time","unscaled","r",84.321,NA
34,1,"time","unscaled","z",706.776,NA
35,1,"time","unscaled","r",83.766,NA
35,1,"time","unscaled","z",709.316,NA
36,1,"time","unscaled","r",87.724,NA
36,1,"time","unscaled","z",789.93,NA
37,1,"time","unscaled","r",86.834,NA
37,1,"time","unscaled","z",770.459,NA
38,1,"time","unscaled","r",87.917,NA
38,1,"time","unscaled","z",766.804,NA
39,1,"time","unscaled","r",94.506,NA
39,1,"time","unscaled","z",827.21,NA
40,1,"time","unscaled","r",93.341,NA
40,1,"time","unscaled","z",858.142,NA
41,1,"time","unscaled","r",93.969,NA
41,1,"time","unscaled","z",823.355,NA
42,1,"time","unscaled","r",93.793,NA
42,1,"time","unscaled","z",839.782,NA
43,1,"time","unscaled","r",95.413,NA
43,1,"time","unscaled","z",816.285,NA
44,1,"time","unscaled","r",101.303,NA
44,1,"time","unscaled","z",880.731,NA
45,1,"time","unscaled","r",100.111,NA
45,1,"time","unscaled","z",875.415,NA
46,1,"time","unscaled","r",99.628,NA
46,1,"time","unscaled","z",896.919,NA
47,1,"time","unscaled","r",103.211,NA
47,1,"time","unscaled","z",928.383,NA
48,1,"time","unscaled","r",100.954,NA
48,1,"time","unscaled","z",901.868,NA
49,1,"time","unscaled","r",107.038,NA
49,1,"time","unscaled","z",955.636,NA
50,1,"time","unscaled","r",102.846,NA
50,1,"time","unscaled","z",912.607,NA
1,1,"time","unscaled","delta",3.05,3.32
2,1,"time","unscaled","delta",4.49,4.72
3,1,"time","unscaled","delta",5.93,6.24
4,1,"time","unscaled","delta",7.28,7.58
5,1,"time","unscaled","delta",8.55,8.91
6,1,"time","unscaled","delta",9.98,10.3
7,1,"time","unscaled","delta",11.15,11.46
8,1,"time","unscaled","delta",12.36,12.66
9,1,"time","unscaled","delta",13.88,14.17
10,1,"time","unscaled","delta",14.92,15.21
11,1,"time","unscaled","delta",20.23,20.44
12,1,"time","unscaled","delta",21.85,22.02
13,1,"time","unscaled","delta",23.13,23.44
14,1,"time","unscaled","delta",23.83,24.02
15,1,"time","unscaled","delta",25.24,25.52
16,1,"time","unscaled","delta",26.73,27
17,1,"time","unscaled","delta",28.34,28.63
18,1,"time","unscaled","delta",29.44,29.85
19,1,"time","unscaled","delta",31.44,31.66
20,1,"time","unscaled","delta",32.62,32.79
21,1,"time","unscaled","delta",33.87,34.06
22,1,"time","unscaled","delta",34.98,35.26
23,1,"time","unscaled","delta",36.81,37.08
24,1,"time","unscaled","delta",37.93,38.05
25,1,"time","unscaled","delta",39.1,39.42
26,1,"time","unscaled","delta",40.57,40.66
27,1,"time","unscaled","delta",41.75,41.92
28,1,"time","unscaled","delta",42.71,42.7
29,1,"time","unscaled","delta",44.48,44.55
30,1,"time","unscaled","delta",45.83,45.72
31,1,"time","unscaled","delta",47.92,48.14
32,1,"time","unscaled","delta",49.07,48.95
33,1,"time","unscaled","delta",51.42,51.29
34,1,"time","unscaled","delta",53.64,53.61
35,1,"time","unscaled","delta",55.46,55.37
36,1,"time","unscaled","delta",56.88,56.77
37,1,"time","unscaled","delta",58.17,58.03
38,1,"time","unscaled","delta",59.4,59.26
39,1,"time","unscaled","delta",60.84,60.63
40,1,"time","unscaled","delta",62.25,62.01
41,1,"time","unscaled","delta",63.13,62.93
42,1,"time","unscaled","delta",64.61,64.26
43,1,"time","unscaled","delta",66.07,65.86
44,1,"time","unscaled","delta",67.42,67.09
45,1,"time","unscaled","delta",68.47,68.14
46,1,"time","unscaled","delta",70.44,70.19
47,1,"time","unscaled","delta",73,72.59
48,1,"time","unscaled","delta",74.65,74.39
49,1,"time","unscaled","delta",76.25,75.72
50,1,"time","unscaled","delta",77.27,76.83
